,x,xdot,theta,theta_dot
0,0.00,-0.00,0.30,0.00
1,0.00,-0.76,0.30,-0.23
2,-0.08,-1.28,0.28,-0.35
3,-0.20,-1.64,0.24,-0.39
4,-0.37,-1.87,0.20,-0.39
5,-0.56,-2.01,0.16,-0.36
6,-0.76,-2.08,0.13,-0.31
7,-0.97,-2.11,0.10,-0.26
8,-1.18,-2.09,0.07,-0.21
9,-1.39,-2.06,0.05,-0.16
10,-1.59,-2.01,0.03,-0.11
11,-1.79,-1.95,0.02,-0.06
12,-1.99,-1.88,0.02,-0.01
13,-2.17,-1.81,0.02,0.03
14,-2.36,-1.74,0.02,0.07
15,-2.53,-1.66,0.03,0.12
16,-2.70,-1.59,0.04,0.17
17,-2.85,-1.52,0.06,0.22
18,-3.01,-1.45,0.08,0.28
19,-3.15,-1.38,0.11,0.36
20,-3.29,-1.31,0.14,0.44
21,-3.42,-1.24,0.19,0.55
22,-3.55,-1.15,0.24,0.68
23,-3.66,-1.06,0.31,0.85
24,-3.77,-0.96,0.39,1.05
25,-3.86,-0.83,0.50,1.31
26,-3.95,-0.68,0.63,1.62
27,-4.01,-0.50,0.79,2.02
28,-4.06,-0.27,0.99,2.53
29,-4.09,0.02,1.25,3.16
30,-4.09,0.38,1.56,3.95
31,0.00,-0.76,0.30,-0.23
32,-0.08,-1.29,0.28,-0.35
33,-0.21,-1.66,0.24,-0.40
34,-0.37,-1.89,0.20,-0.40
35,-0.56,-2.03,0.16,-0.37
36,-0.76,-2.10,0.13,-0.32
37,-0.97,-2.12,0.09,-0.27
38,-1.19,-2.11,0.07,-0.22
39,-1.40,-2.07,0.04,-0.17
40,-1.60,-2.02,0.03,-0.12
41,-1.80,-1.95,0.01,-0.08
42,-2.00,-1.88,0.01,-0.03
43,-2.19,-1.81,0.00,0.00
44,-2.37,-1.73,0.00,0.04
45,-2.54,-1.66,0.01,0.08
46,-2.71,-1.59,0.02,0.12
47,-2.87,-1.52,0.03,0.16
48,-3.02,-1.45,0.04,0.21
49,-3.16,-1.38,0.07,0.27
50,-3.30,-1.31,0.09,0.33
51,-3.43,-1.24,0.13,0.41
52,-3.56,-1.17,0.17,0.51
53,-3.67,-1.09,0.22,0.63
54,-3.78,-1.01,0.28,0.78
55,-3.88,-0.91,0.36,0.97
56,-3.98,-0.79,0.46,1.20
57,-4.06,-0.65,0.58,1.50
58,-4.12,-0.48,0.73,1.87
59,-4.17,-0.27,0.91,2.33
60,-4.20,-0.01,1.15,2.91
61,-4.20,0.33,1.44,3.64
62,-0.08,-1.29,0.28,-0.35
63,-0.21,-1.66,0.24,-0.40
64,-0.37,-1.90,0.20,-0.40
65,-0.56,-2.05,0.16,-0.38
66,-0.77,-2.12,0.12,-0.33
67,-0.98,-2.14,0.09,-0.28
68,-1.19,-2.12,0.06,-0.23
69,-1.40,-2.08,0.04,-0.18
70,-1.61,-2.03,0.02,-0.13
71,-1.82,-1.96,0.01,-0.09
72,-2.01,-1.89,-0.00,-0.05
73,-2.20,-1.81,-0.01,-0.01
74,-2.38,-1.73,-0.01,0.02
75,-2.55,-1.66,-0.01,0.05
76,-2.72,-1.58,-0.00,0.09
77,-2.88,-1.51,0.01,0.12
78,-3.03,-1.44,0.02,0.16
79,-3.17,-1.38,0.04,0.20
80,-3.31,-1.31,0.06,0.25
81,-3.44,-1.24,0.08,0.32
82,-3.57,-1.18,0.11,0.39
